H2O	O
UDP-glucuronate	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O
Hydroxypyruvate	C(C(=O)C(=O)O)O
Carbamoyl phosphate	C(=O)(N)OP(=O)(O)O
5'-Methylthioadenosine	CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
Thymine	CC1=CNC(=O)NC1=O
Agmatine	C(CCN=C(N)N)CN
Benzoate	C1=CC=C(C=C1)C(=O)O
D-Xylose	C1C(C(C(C(O1)O)O)O)O
L-Valine	CC(C)C(C(=O)O)N
Glycerone	C(C(=O)CO)O
Cellobiose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
(S)-Lactate	CC(C(=O)O)O
L-Threonine	CC(C(C(=O)O)N)O
Ethanolamine	C(CO)N
UDP-D-xylose	C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O
D-Glucuronate	C1(C(C(OC(C1O)O)C(=O)O)O)O
Cobamide coenzyme	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co+3]
2,3-Dihydroxybenzoate	C1=CC(=C(C(=C1)O)O)C(=O)O
3-Phospho-D-glycerate	C(C(C(=O)O)O)OP(=O)(O)O
D-Glucono-1,5-lactone	C(C1C(C(C(C(=O)O1)O)O)O)O
D-Ribulose 5-phosphate	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
UDP-N-acetyl-D-galactosamine	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
2-Dehydro-3-deoxy-D-gluconate	C(C(C(CO)O)O)C(=O)C(=O)O
dADP	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O
Acetone	CC(=O)C
Maltose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
Oxalate	C(=O)(C(=O)O)O
Adenosine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
Sarcosine	CNCC(=O)O
Thymidine	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
D-Glutamate	C(CC(=O)O)C(C(=O)O)N
beta-D-Glucose	C(C1C(C(C(C(O1)O)O)O)O)O
3-Oxopropanoate	C(C=O)C(=O)O
p-Coumaroyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O
Adenylyl sulfate	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N
Acetyl phosphate	CC(=O)OP(=O)(O)O
Acyl-carrier protein	
D-Xylulose 5-phosphate	C(C(C(C(=O)CO)O)O)OP(=O)(O)O
Succinate semialdehyde	C(CC(=O)[O-])C=O
4-Methyl-2-oxopentanoate	CC(C)CC(=O)C(=O)O
10-Formyltetrahydrofolate	C1C(NC2=C(N1)N=C(NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Dimethylallyl diphosphate	CC(=CCOP(=O)(O)OP(=O)(O)O)C
3-Phospho-D-glyceroyl phosphate	C(C(C(=O)OP(=O)(O)O)O)OP(=O)(O)O
CO	[C-]#[O+]
dCMP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O
Guanine	C1=NC2=C(N1)C(=O)NC(=N2)N
Nitrate	[N+](=O)(O)[O-]
Taurine	C(CS(=O)(=O)O)N
Butanoic acid	CCCC(=O)O
Lipoamide	C1CSSC1CCCCC(=O)N
Hexadecanoic acid	CCCCCCCCCCCCCCCC(=O)O
Pyridoxal	CC1=NC=C(C(=C1O)C=O)CO
Chorismate	C=C(C(=O)O)OC1C=C(C=CC1O)C(=O)O
Isomaltose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O
Nicotinate	C1=CC(=CN=C1)C(=O)O
Prephenate	C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O
Riboflavin	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
(R)-Lactate	CC(C(=O)O)O
D-Gluconic acid	C(C(C(C(C(C(=O)O)O)O)O)O)O
D-Glycerate	C(C(C(=O)O)O)O
Benzaldehyde	C1=CC=C(C=C1)C=O
Hypoxanthine	C1=NC2=C(N1)C(=O)NC=N2
L-Homoserine	C(CO)C(C(=O)O)N
Glycolaldehyde	C(C=O)O
alpha-D-Glucose	C(C1C(C(C(C(O1)O)O)O)O)O
Tetrahydrobiopterin	CC(C(C1CNC2=C(N1)C(=O)NC(=N2)N)O)O
D-Mannose 6-phosphate	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O
D-Erythrose 4-phosphate	C(C(C(C=O)O)O)OP(=O)(O)O
Androstenedione	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C
Hydrogen	[HH]
Hydrogen sulfide	[S-2]
dGTP	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
HCO3-	C(=O)(O)[O-]
Inosine	C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O
Orotate	C1=C(NC(=O)NC1=O)C(=O)O
Uridine	C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
ADP-ribose	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N
Glutamate	C(CC(=O)O)C(C(=O)O)N
D-Xylulose	C1C(C(C(O1)(CO)O)O)O
Isocitrate	C(C(C(C(=O)O)O)C(=O)O)C(=O)O
L-Xylulose	C1C(C(C(O1)(CO)O)O)O
Oxalyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(=O)O)O
Pyridoxine	CC1=NC=C(C(=C1O)CO)CO
Spermidine	C(CCNCCCN)CN
L-Carnitine	C[N+](C)(C)CC(CC(=O)[O-])O
Thiosulfate	
2-Oxoadipate	C(CC(=O)C(=O)O)CC(=O)O
Caffeoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C=C4)O)O)O
L-Citrulline	C(CC(C(=O)O)N)CNC(=O)N
Deoxyguanosine	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O
Indolepyruvate	C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)[O-]
Acetoacetyl-CoA	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
4-Aminobutanoate	C(CC(=O)O)CN
(S)-Dihydroorotate	C1C(NC(=O)NC1=O)C(=O)O
Geranyl diphosphate	CC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C
Thioredoxin	
Thioredoxin disulfide	
6-Phospho-D-gluconate	C(C(C(C(C(C(=O)O)O)O)O)O)OP(=O)(O)O
2-Methyl-3-oxopropanoate	CC(C=O)C(=O)O
D-Glucosamine 6-phosphate	C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O
Geranylgeranyl diphosphate	CC(=CCCC(=CCCC(=CCCC(=CCOP(=O)([O-])OP(=O)([O-])[O-])C)C)C)C
D-Fructose 1,6-bisphosphate	
(S)-3-Hydroxy-3-methylglutaryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)O)O)O
N-Acetyl-D-glucosamine 6-phosphate	CC(=O)NC1C(C(C(OC1O)COP(=O)(O)O)O)O
dAMP	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O
dGDP	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)O)O
dGMP	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)O)O
dTDP	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)O)O
dTMP	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)O)O
dUMP	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)O
Urate	C12=C(NC(=O)N1)NC(=O)NC2=O
Retinal	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=O)C)C
Thiamine	CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
Cytosine	C1=C(NC(=O)N=C1)N
Xanthine	C1=NC2=C(N1)C(=O)NC(=O)N2
Guanosine	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
Ubiquinol	
Ubiquinone	
D-Aspartate	C(C(C(=O)O)N)C(=O)O
Feruloyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C=C4)O)OC)O
L-Isoleucine	CCC(C)C(C(=O)O)N
Methanethiol	CS
Sinapoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C(=C4)OC)O)OC)O
Cyclohexanone	C1CCC(=O)CC1
Dihydrofolate	C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
cis-Aconitate	C(C(=CC(=O)O)C(=O)O)C(=O)O
trans-Cinnamate	C1=CC=C(C=C1)C=CC(=O)[O-]
(S)-Lactaldehyde	CC(C=O)O
5-Aminolevulinate	C(CC(=O)O)C(=O)CN
5-Aminopentanoate	C(CCN)CC(=O)O
2,5-Dioxopentanoate	C(CC(=O)C(=O)O)C=O
N-Carbamoylputrescine	C(CCNC(=O)N)CN
N-Acetylornithine	CC(=O)NC(CCCN)C(=O)O
N-Carbamoyl-L-aspartate	C(C(C(=O)O)NC(=O)N)C(=O)O
5-Methyltetrahydrofolate	CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
L-Aspartate 4-semialdehyde	C(C=O)C(C(=O)O)N
5,10-Methenyltetrahydrofolate	C1C2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O
alpha-D-Galactose 1-phosphate	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O
Sedoheptulose 1,7-bisphosphate	C(C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O
trans,trans-Farnesyl diphosphate	CC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C
Nicotinamide D-ribonucleotide	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N
dCTP	C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dTTP	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
dUTP	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
Indole	C1=CC=C2C(=C1)C=CN2
Estrone	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
Ethanol	CCO
Retinol	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
Cytidine	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
Propanal	CCC=O
Sinapate	COC1=CC(=CC(=C1O)OC)C=CC(=O)O
Bilirubin	CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C
Glutarate	C(CC(=O)O)CC(=O)O
Itaconate	C=C(CC(=O)O)C(=O)O
L-Cystine	C(C(C(=O)O)N)SSCC(C(=O)O)N
Raffinose	C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O
Shikimate	C1C(C(C(C=C1C(=O)O)O)O)O
(R)-Malate	C(C(C(=O)O)O)C(=O)O
ADP-glucose	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N
Allantoate	C(C(=O)O)(NC(=O)N)NC(=O)N
Biliverdin	CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O
D-Xylonate	C(C(C(C(C(=O)[O-])O)O)O)O
Erythritol	C(C(C(CO)O)O)O
Folate	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
L-Cysteate	C(C(C(=O)O)N)S(=O)(=O)O
L-Rhamnose	CC1C(C(C(C(O1)O)O)O)O
Acrylic acid	C=CC(=O)O
Benzoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4)O
(R)-Pantoate	CC(C)(CO)C(C(=O)O)O
Deoxyuridine	C1C(C(OC1N2C=CC(=O)NC2=O)CO)O
Glutaryl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)O)O
Itaconyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=C)C(=O)O)O
Nitric oxide	[N]=O
Testosterone	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
Triphosphate	OP(=O)(O)OP(=O)(O)OP(=O)(O)O
Cinnamoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=CC=C4)O
Cystathionine	C(CSCC(C(=O)O)N)C(C(=O)O)N
Methylglyoxal	CC(=O)C=O
meso-Tartaric acid	C(C(C(=O)[O-])O)(C(=O)[O-])O
4-Aminobutyraldehyde	C(CC=O)CN
Deoxyadenosine	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O
Mandelonitrile	C1=CC=C(C=C1)C(C#N)O
4-Aminobenzoate	C1=CC(=CC=C1C(=O)[O-])N
Betaine aldehyde	C[N+](C)(C)CC=O
D-Glyceraldehyde	C(C(C=O)O)O
Dihydrolipoamide	C(CCC(=O)N)CC(CCS)S
Dimethyl sulfide	CSC
Propane-1,2-diol	CC(CO)O
3-Hydroxybenzoate	C1=CC(=CC(=C1)O)C(=O)O
Sulfoacetaldehyde	C(C=O)S(=O)(=O)[O-]
Phenylacetaldehyde	C1=CC=C(C=C1)CC=O
(S)-Ureidoglycolate	C(C(=O)O)(NC(=O)N)O
3-Sulfino-L-alanine	C(C(C(=O)O)N)S(=O)O
UDP-D-galacturonate	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OC3C(C(C(C(O3)C(=O)[O-])O)O)O)O)O
3-Dehydro-L-gulonate	C(C(C(C(=O)C(C(=O)O)O)O)O)O
